"Reference";"National reference";"Country/Territory";"Typ";"Disease name";"Disease type";"Epidemiological unit";"Submitted on";"Modified on";"Administrative division level 1";"Administrative division level 2";"Administrative division level 3";"Outbreak occurring inside an already restricted zone";"Latitude";"Longitude";"Approximate location";"Location";"Wildlife type 1";"Production Type 1";"Water type 1";"Production system 1";"Measuring unit 1";"Susceptible 1";"Cases 1";"Dead 1";"Killed 1";"Slaughtered 1";"Vaccinated 1";"Outbreak year";"Suspicion/Start date";"Confirmation date";"End date";"Status Continuing/Resolved";"Suspicion";"Clinical signs";"Diagnostic tests";"Necropsy";"Category 1";"Subcategory 1";"Test name 1";"Test type 1";"Laboratory type 1";"Species 1";"Result date 1";"Result type 1";"Pertinence"
"IS-HPAI(NON-P)-2026-ywsx0";"WB-a2who";"Island";"Primary";"HPAI(NON-P) in Wild Birds";"H5N5";"Not applicable";"2026-05-06";"2026-05-06";"Suðurnes";"Reykjanesbær";NaN;"true";"64,0087030429321";"-22,565944056448057";"false";"Reykjanesbær";"Wild";NaN;NaN;NaN;"Tiere";NaN;NaN;"1";NaN;NaN;NaN;"2026";"2026-03-10";"2026-03-19";"2026-03-19";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"National Reference Laboratory";"Corvus corax";"2026-03-19";"Positive";"EU and WOAH"
"FR-MTBC-2026-1gtxn";"2026-8op15";"Frankreich";"Primary";"Mycobacterium tuberculosis complex (Inf. with)(2019-)";NaN;NaN;"2026-05-17";"2026-05-17";"Corse-du-Sud";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;"Tiere";"125";"1";NaN;NaN;NaN;NaN;"2026";"2025-12-16";"2026-03-20";"N/A";"Continuing";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time RT-PCR";"Laboratory";"Regional Reference Laboratory";"Cattle";"2026-03-12";"Positive";"EU"
"DE-HPAI(NON-P)-2026-mizxj";"26-015-q8wyr";"Deutschland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-21";"2026-04-21";"Nordrhein-Westfalen";"Herford";"Hiddenhausen";"true";"52,1700000000000";"8,609999999999999";"true";"Hiddenhausen";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-03-10";"2026-03-20";"2026-03-20";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Private Laboratory";"Anser anser";"2026-03-20";"Positive";"EU and WOAH"
"DE-HPAI(NON-P)-2026-vffop";"26-015-5kssg";"Deutschland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-21";"2026-04-21";"Nordrhein-Westfalen";"Herford";"Löhne";"true";"52,2100000000000";"8,750000000000000";"true";"Löhne";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-03-10";"2026-03-20";"2026-03-20";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Private Laboratory";"Anser anser";"2026-03-20";"Positive";"EU and WOAH"
"DE-HPAI(NON-P)-2026-uo2lu";"26-015-cot5d";"Deutschland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-21";"2026-04-21";"Nordrhein-Westfalen";"Herford";"Hiddenhausen";"true";"52,1680000000000";"8,600000000000000";"true";"Hiddenhausen";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-03-10";"2026-03-20";"2026-03-20";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Private Laboratory";"Anser anser";"2026-03-20";"Positive";"EU and WOAH"
"DE-HPAI(NON-P)-2026-li3xp";"26-015-7ebjr";"Deutschland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-21";"2026-04-21";"Nordrhein-Westfalen";"Herford";"Spenge";"true";"52,1700000000000";"8,510000000000000";"true";"Spenge";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-03-06";"2026-03-20";"2026-03-20";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Private Laboratory";"Anser anser";"2026-03-20";"Positive";"EU and WOAH"
"DE-HPAI(NON-P)-2026-hzmon";"26-015-apid5";"Deutschland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-23";"2026-04-23";"Baden-Württemberg";"Bodensee";"Bodensee";"true";"47,5960000000000";"9,538000000000000";"true";"Langenargen";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-03-16";"2026-03-27";"2026-03-27";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Private Laboratory";"Larus cachinnans";"2026-03-27";"Positive";"EU and WOAH"
"DE-HPAI(NON-P)-2026-lv8xz";"26-015-tq654";"Deutschland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-23";"2026-04-28";"Rheinland-Pfalz";"Neuwied";"Linz am Rhein";"true";"50,5650000000000";"7,277000000000000";"true";"Linz am Rhein";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-03-23";"2026-03-27";"2026-03-27";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Private Laboratory";"Branta canadensis";"2026-03-27";"Positive";"EU and WOAH"
"FR-MTBC-2026-4vgb5";"2026-y5588";"Frankreich";"Primary";"Mycobacterium tuberculosis complex (Inf. with)(2019-)";NaN;NaN;"2026-05-17";"2026-05-17";"Côte-d'Or";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;"Tiere";"181";"1";NaN;NaN;NaN;NaN;"2026";"2026-02-06";"2026-03-30";"N/A";"Continuing";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time RT-PCR";"Laboratory";"Regional Reference Laboratory";"Cattle";"2026-03-20";"Positive";"EU"
"DE-HPAI(NON-P)-2026-rgqzm";"26-015-and7y";"Deutschland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-23";"2026-04-23";"Nordrhein-Westfalen";"Minden-Lübbecke";"Petershagen";"true";"52,3650000000000";"8,997000000000000";"true";"Petershagen";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-03-27";"2026-03-30";"2026-04-23";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Private Laboratory";"Phalacrocoracidae (incognita)";"2026-04-16";"Positive";"EU and WOAH"
"DE-HPAI(NON-P)-2026-uqq4b";"26-015-b8v85";"Deutschland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-23";"2026-04-23";"Nordrhein-Westfalen";"Minden-Lübbecke";"Petershagen";"true";"52,4400000000000";"9,000000000000000";"true";"Petershagen";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-03-27";"2026-03-30";"2026-04-23";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Private Laboratory";"Anser anser";"2026-04-16";"Positive";"EU and WOAH"
"DE-HPAI(NON-P)-2026-5ysma";"26-015-zwtqg";"Deutschland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-23";"2026-04-23";"Nordrhein-Westfalen";"Minden-Lübbecke";"Petershagen";"true";"52,4400000000000";"9,000000000000000";"true";"Petershagen";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-03-27";"2026-03-30";"2026-04-23";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Private Laboratory";"Anser anser";"2026-04-16";"Positive";"EU and WOAH"
"HU-ASF-2026-l0iz2";NaN;"Ungarn";"Secondary";"A.S.F. in wild boar";NaN;"Forest";"2026-04-22";"2026-04-22";"Szabolcs-Szatmár-Bereg";"Vásárosnamény";NaN;"true";"48,2049349325005";"22,402586194914612";"false";"Barabás";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";NaN;NaN;NaN;"2026";"2026-03-24";"2026-03-31";"2026-03-25";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-03-31";"Positive";"EU and WOAH"
"FR-HPAI(NON-P)-2026-adh56";"IA20260165-d2evs";"Frankreich";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Other";"2026-04-22";"2026-04-22";"Yvelines";NaN;NaN;"false";"48,6852384224212";"2,029475440152142";"false";"Chevreuse";"Wild";NaN;NaN;NaN;"Tiere";NaN;"2";"2";NaN;NaN;NaN;"2026";"2026-03-20";"2026-03-31";"2026-04-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time reverse transcription polymerase chain reaction (rRT-PCR)";"Laboratory";"National Reference Laboratory";"Branta canadensis";"2026-03-31";"Positive";"EU and WOAH"
"HU-ASF-2026-d5tbt";NaN;"Ungarn";"Secondary";"A.S.F. in wild boar";NaN;"Forest";"2026-04-22";"2026-04-22";"Baranya";"Sellye";NaN;"true";"45,8775877225082";"18,013670116270337";"false";"Páprád";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";NaN;"1";NaN;NaN;"2026";"2026-03-21";"2026-04-01";"2026-03-22";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-01";"Positive";"EU and WOAH"
"HU-ASF-2026-kc7oj";NaN;"Ungarn";"Secondary";"A.S.F. in wild boar";NaN;"Forest";"2026-04-22";"2026-04-22";"Baranya";"Sellye";NaN;"true";"45,8934730148088";"17,997344890420138";"false";"Páprád";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";NaN;"1";NaN;NaN;"2026";"2026-03-19";"2026-04-01";"2026-03-20";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-01";"Positive";"EU and WOAH"
"HU-ASF-2026-9rl7d";NaN;"Ungarn";"Secondary";"A.S.F. in wild boar";NaN;"Forest";"2026-04-22";"2026-04-22";"Szabolcs-Szatmár-Bereg";"Mátészalka";NaN;"true";"47,7680843005332";"22,365436815076336";"false";"Vállaj";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";NaN;NaN;NaN;"2026";"2026-03-26";"2026-04-01";"2026-03-27";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-01";"Positive";"EU and WOAH"
"FR-MTBC-2026-9ykg7";"2026-ghr4x";"Frankreich";"Primary";"Mycobacterium tuberculosis complex (Inf. with)(2019-)";NaN;NaN;"2026-05-17";"2026-05-17";"Haute-Vienne";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;"Tiere";"177";"2";NaN;NaN;NaN;NaN;"2026";"2026-03-04";"2026-04-02";"N/A";"Continuing";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time RT-PCR";"Laboratory";"Regional Reference Laboratory";"Cattle";"2026-03-20";"Positive";"EU"
"FR-MTBC-2026-iwlmq";"2026-j4ckc";"Frankreich";"Primary";"Mycobacterium tuberculosis complex (Inf. with)(2019-)";NaN;NaN;"2026-05-17";"2026-05-17";"Haute-Vienne";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;"Tiere";"128";"2";NaN;NaN;NaN;NaN;"2026";"2026-03-07";"2026-04-02";"N/A";"Continuing";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time RT-PCR";"Laboratory";"Regional Reference Laboratory";"Cattle";"2026-03-20";"Positive";"EU"
"PL-EBL-2026-pf00g";"3/2026-iihzf";"Polen";"Primary";"Enzootic bovine leukosis";NaN;NaN;"2026-04-24";"2026-05-18";"Warmińsko-Mazurskie";"Gołdap";"Gołdap";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;"Tiere";"82";"33";NaN;NaN;NaN;NaN;"2026";"2026-03-18";"2026-04-02";"N/A";"Continuing";"false";"false";"true";"false";"Antibody detection";"Antibody detection tests";"Enzyme-linked immunosorbent assay (ELISA)";"Laboratory";"National Reference Laboratory";"Cattle";"2026-04-02";"Positive";"EU"
"FR-MTBC-2026-6xtve";"1365-9mr6m";"Frankreich";"Primary";"Mycobacterium tuberculosis complex (Inf. with)(2019-)";NaN;NaN;"2026-05-17";"2026-05-17";"Pyrénées-Atlantiques";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;"Tiere";"28";"1";NaN;NaN;NaN;NaN;"2026";"2026-03-09";"2026-04-03";"N/A";"Continuing";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time RT-PCR";"Laboratory";"Regional Reference Laboratory";"Cattle";"2026-03-27";"Positive";"EU"
"FR-MTBC-2026-pc9vl";"2026-bipmk";"Frankreich";"Primary";"Mycobacterium tuberculosis complex (Inf. with)(2019-)";NaN;NaN;"2026-05-17";"2026-05-17";"Calvados";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;"Tiere";"412";"1";NaN;NaN;NaN;NaN;"2026";"2026-03-02";"2026-04-03";"N/A";"Continuing";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time RT-PCR";"Laboratory";"Regional Reference Laboratory";"Cattle";"2026-03-27";"Positive";"EU"
"IT-WNF-2026-fryh7";"WNF-2026-4fg1n";"Italien";"Primary";"West Nile Fever";NaN;NaN;"2026-04-20";"2026-04-20";"Sardegna";"Oristano";"Oristano";NaN;NaN;NaN;NaN;NaN;"Wild";NaN;NaN;NaN;"Tiere";"1";"1";"1";NaN;NaN;NaN;"2026";"2026-03-31";"2026-04-03";"N/A";"Continuing";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Reverse transcription-polymerase chain reaction (RT-PCR)";"Laboratory";"National Reference Laboratory";"Corvus cornix";"2026-04-03";"Positive";"EU"
"HU-ASF-2026-0n15u";NaN;"Ungarn";"Secondary";"A.S.F. in wild boar";NaN;"Forest";"2026-04-22";"2026-04-22";"Baranya";"Siklós";NaN;"true";"45,8025024272195";"18,483372874694378";"false";"Lapáncsa";"Wild";NaN;NaN;NaN;"Tiere";NaN;"2";NaN;"2";NaN;NaN;"2026";"2026-03-23";"2026-04-06";"2026-03-24";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-06";"Positive";"EU and WOAH"
"HU-ASF-2026-icq1u";NaN;"Ungarn";"Secondary";"A.S.F. in wild boar";NaN;"Forest";"2026-04-22";"2026-04-22";"Baranya";"Sellye";NaN;"true";"45,8275858003958";"17,897946629322636";"false";"Zaláta";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";NaN;"1";NaN;NaN;"2026";"2026-03-20";"2026-04-06";"2026-03-21";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-06";"Positive";"EU and WOAH"
"HU-ASF-2026-f4lek";NaN;"Ungarn";"Secondary";"A.S.F. in wild boar";NaN;"Forest";"2026-04-22";"2026-04-22";"Baranya";"Sellye";NaN;"true";"45,8232636257235";"18,015118165134265";"false";"Hirics";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";NaN;"1";NaN;NaN;"2026";"2026-03-23";"2026-04-06";"2026-03-24";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-06";"Positive";"EU and WOAH"
"HU-ASF-2026-ctx6b";NaN;"Ungarn";"Secondary";"A.S.F. in wild boar";NaN;"Forest";"2026-04-22";"2026-04-22";"Heves";"Bélapátfalva";NaN;"true";"48,1275279331545";"20,373113696406975";"false";"Szilvásvárad";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";NaN;NaN;NaN;"2026";"2026-03-26";"2026-04-06";"2026-03-27";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time polymerase chain reaction (real-time PCR)";"Laboratory";"Local laboratory";"Sus scrofa";"2026-04-06";"Positive";"EU and WOAH"
"DE-HPAI(NON-P)-2026-2y9sf";"26-015-1kz19";"Deutschland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-23";"2026-04-23";"Thüringen";"Altenburger Land";"Wieratal";"true";"50,9150000000000";"12,545999999999999";"true";"Nobitz";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-03-18";"2026-04-07";"2026-04-07";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Private Laboratory";"Accipitridae (incognita)";"2026-04-07";"Positive";"EU and WOAH"
"FR-MTBC-2026-h6f1u";"1372-cnmja";"Frankreich";"Primary";"Mycobacterium tuberculosis complex (Inf. with)(2019-)";NaN;NaN;"2026-05-17";"2026-05-17";"Haute-Corse";NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;"Tiere";"26";"1";NaN;NaN;NaN;NaN;"2026";"2026-01-28";"2026-04-08";"N/A";"Continuing";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Real-time RT-PCR";"Laboratory";"Regional Reference Laboratory";"Cattle";"2026-03-27";"Positive";"EU"
"DE-HPAI(NON-P)-2026-wp86x";"26-015-ue6y6";"Deutschland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-20";"2026-04-20";"Nordrhein-Westfalen";"Borken";"Borken";"true";"51,8500000000000";"6,840000000000000";"true";"Borken";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-03-30";"2026-04-08";"2026-04-08";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Private Laboratory";"Anser anser";"2026-04-08";"Positive";"EU and WOAH"
"GR-HPAI(NON-P)-2026-rzgsq";NaN;"Griechenland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Natural park";"2026-04-24";"2026-04-24";"Kastoria";"Kastoria";NaN;"true";"40,5089030020136";"21,306431118303536";"false";"Lake of Kastoria";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-04-03";"2026-04-09";"2026-04-09";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Genotyping";"Gene sequencing";"Laboratory";"National Reference Laboratory";"Cygnus cygnus";"2026-04-09";"Positive";"EU and WOAH"
"DE-HPAI(NON-P)-2026-hkgk8";"26-015-fpbmq";"Deutschland";"Primary";"HPAI(NON-P) in Wild Birds";"H5N1";"Not applicable";"2026-04-23";"2026-04-23";"Bayern";"Neuburg-Schrobenhausen";"Neuburg a.d. Donau";"true";"48,7050000000000";"11,240000000000000";"true";"Neuburg a.d. Donau";"Wild";NaN;NaN;NaN;"Tiere";NaN;"1";"1";"0";"0";"0";"2026";"2026-03-19";"2026-04-09";"2026-04-09";"Resolved";"false";"false";"true";"false";"Pathogen detection";"Nucleic acid detection";"Polymerase chain reaction (PCR)";"Laboratory";"Private Laboratory";"Cygnus olor";"2026-04-09";"Positive";"EU and WOAH"
