"country";"eventId";"reportId";"disease";"subType";"eventStartDate";"reason";"reportStatus";"submissionDate";"reportNumber"
"Germany";"6553-jj2ja";"182700-6vwjj";"African swine fever virus (Inf. with)";NaN;"13.6.2025";"First occurrence in a zone or a compartment";"Validated";"12.5.2026";"FUR_15"
"Italy";"7552-9fx7s";"183130-goxf3";"Equine arteritis virus (Inf. with)";NaN;"23.1.2025";"First occurrence in a zone or a compartment";"Validated";"12.5.2026";"FUR_1"
"Italy";"7548-xohvi";"183123-lqkjr";"Chlamydia abortus (Inf. with) (Enzootic abortion of ewes, ovine chlamydiosis)";NaN;"27.2.2025";"First occurrence in a zone or a compartment";"Validated";"12.5.2026";"FUR_1"
"Belgium";"6339-cov19";"183101-qklng";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"26.2.2025";"Recurrence of an eradicated disease";"Validated";"12.5.2026";"FUR_29"
"Romania";"7542-zudxt";"183066-nc04p";"Bluetongue virus (Inf. with)";"3";"3.5.2026";"New strain in a zone or a compartment";"Validated";"11.5.2026";"IN"
"Italy";"6568-7h9xa";"183068-lkca0";"Lumpy skin disease virus (Inf. with)";NaN;"20.6.2025";"First occurrence in the country";"Validated";"11.5.2026";"FUR_38"
"Bosnia and Herzegovina";"6564-wqyk7";"183059-9fkp3";"African swine fever virus (Inf. with)";NaN;"20.5.2025";"First occurrence in the country";"Validated";"11.5.2026";"FUR_27"
"Hungary";"7085-4pgt3";"182876-lgdpq";"African swine fever virus (Inf. with)";NaN;"17.11.2025";"Recurrence of an eradicated disease";"Validated";"11.5.2026";"FUR_13"
"Romania";"7204-7l75v";"183053-hd5mf";"Bluetongue virus (Inf. with)";"3";"22.12.2025";"New strain in a zone or a compartment";"Validated";"11.5.2026";"FUR_4"
"Romania";"7504-2rgzm";"182889-h4i5o";"Sheep pox and goat pox";NaN;"15.4.2026";"First occurrence in a zone or a compartment";"Validated";"8.5.2026";"FUR_3"
"Czech Republic";"6471-5as1c";"182990-581bt";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"8.5.2025";"Recurrence of an eradicated disease";"Validated";"7.5.2026";"FUR_60"
"Switzerland";"6985-d4npk";"182952-mvoxc";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"3.11.2025";"Recurrence of an eradicated disease";"Validated";"6.5.2026";"FUR_24"
"Iceland";"6816-6fnam";"182971-6f1s9";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N5";"9.9.2025";"Recurrence of an eradicated strain";"Validated";"6.5.2026";"FUR_2"
"Iceland";"7248-8beei";"182434-pysdu";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"15.1.2026";"Recurrence of an eradicated strain";"Validated";"6.5.2026";"FUR_1"
"Poland";"6604-a1v21";"182946-58xbt";"African swine fever virus (Inf. with)";NaN;"7.7.2025";"First occurrence in a zone or a compartment";"Validated";"6.5.2026";"FUR_28"
"Poland";"6580-yygsf";"182948-b7qe1";"African swine fever virus (Inf. with)";NaN;"23.6.2025";"Recurrence of an eradicated disease";"Validated";"6.5.2026";"FUR_34"
"Poland";"6576-7n50x";"182951-zsx8h";"African swine fever virus (Inf. with)";NaN;"20.6.2025";"Recurrence of an eradicated disease";"Validated";"6.5.2026";"FUR_33"
"Austria";"7158-ktrcb";"182820-pjykf";"Bovine pestiviruses (Inf. with) (Bovine viral diarrhoea)";NaN;"23.12.2025";"Recurrence of an eradicated strain";"Validated";"5.5.2026";"FUR_2"
"Austria";"6821-102lh";"182919-u0q4h";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"23.9.2025";"Recurrence of an eradicated strain";"Validated";"5.5.2026";"FUR_52"
"Montenegro";"7334-hlyct";"182902-832of";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"25.2.2026";"First occurrence in the country";"Validated";"4.5.2026";"FUR_2"
"Lithuania";"7206-8tw5f";"182782-k7mvn";"African swine fever virus (Inf. with)";NaN;"23.12.2025";"Recurrence of an eradicated disease";"Validated";"4.5.2026";"FUR_12"
"United Kingdom";"7440-7p3ib";"182857-fvnmo";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"6.4.2026";"Recurrence of an eradicated disease";"Validated";"1.5.2026";"FUR_3"
"Austria";"6539-y6q0t";"182818-2omug";"Mycobacterium tuberculosis complex (Inf. with)(2019-)";NaN;"2.12.2023";"Recurrence of an eradicated disease";"Validated";"30.4.2026";"FUR_20"
"Italy";"6896-l7zsa";"182813-9crqn";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"5.10.2025";"Recurrence of an eradicated strain";"Validated";"30.4.2026";"FUR_17"
"Greece";"7056-3kxvu";"182810-kfbzn";"Bluetongue virus (Inf. with)";"4";"18.11.2025";"Recurrence of an eradicated strain";"Validated";"30.4.2026";"FUR_3"
"Greece";"6890-ni8ek";"182809-z3l2f";"Bluetongue virus (Inf. with)";"3";"14.8.2025";"Recurrence of an eradicated strain";"Validated";"30.4.2026";"FUR_5"
"Austria";"7257-ekym2";"182780-tmzxz";"Coxiella burnetii (Inf. with) (Q fever)";NaN;"12.2.2025";"Recurrence of an eradicated disease";"Validated";"29.4.2026";"FUR_2"
"Austria";"7024-8agpx";"182779-ukoqo";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"17.11.2025";"Recurrence of an eradicated strain";"Validated";"29.4.2026";"FUR_7"
"Bulgaria";"6861-i47nj";"182775-aayhv";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"7.10.2025";"Recurrence of an eradicated disease";"Validated";"29.4.2026";"FUR_16"
"Austria";"7256-83iri";"182774-xt7m0";"Mycoplasma gallisepticum (Inf. with) (Avian mycoplasmosis)";NaN;"5.5.2025";"Recurrence of an eradicated disease";"Validated";"29.4.2026";"FUR_3"
"Greece";"6605-nqs2z";"181939-voh1d";"Bluetongue virus (Inf. with)";"8";"2.7.2025";"Recurrence of an eradicated strain";"Validated";"29.4.2026";"FUR_26"
"Germany";"6318-55w0m";"177475-5v8e4";"Batrachochytrium salamandrivorans (Inf. with)(2014-)";NaN;"10.2.2025";"Recurrence";"Validated";"29.4.2026";"FUR_3"
"Serbia";"3103-vupkt";"182117-zvla4";"African swine fever virus (Inf. with)";NaN;"3.1.2020";"First occurrence in a zone or a compartment";"Validated";"27.4.2026";"FUR_62"
"Moldova";"7195-7nfp8";"182690-6tfe6";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"14.1.2026";"Recurrence of an eradicated disease";"Validated";"27.4.2026";"FUR_10"
"North Macedonia";"7232-n4q58";"181562-9fzd5";"Sheep pox and goat pox";NaN;"23.1.2026";"First occurrence in the country";"Validated";"27.4.2026";"FUR_4"
"Bosnia and Herzegovina";"7486-814th";"182673-ztrjo";"Mycobacterium tuberculosis complex (Inf. with)(2019-)";NaN;"1.5.2025";"Recurrence of an eradicated disease";"Validated";"27.4.2026";"FUR_1"
"France";"6672-66gkx";"182548-305bu";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"16.7.2025";"Recurrence of an eradicated disease";"Validated";"27.4.2026";"FUR_25"
"Bosnia and Herzegovina";"7244-ceh8w";"182664-3dgb7";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"26.1.2026";"Recurrence of an eradicated disease";"Validated";"27.4.2026";"FUR_1"
"Germany";"6074-ghqyx";"180969-nk1ao";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"12.11.2024";"Recurrence of an eradicated disease";"Validated";"27.4.2026";"FUR_8"
"Germany";"6234-13ty4";"180989-bze2j";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"28.1.2025";"Recurrence of an eradicated disease";"Validated";"27.4.2026";"FUR_10"
"Germany";"6149-ql8u9";"181039-58wwm";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"27.12.2024";"Recurrence of an eradicated disease";"Validated";"27.4.2026";"FUR_6"
"Germany";"6065-r69zk";"181710-wg3hq";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"14.11.2024";"Recurrence of an eradicated disease";"Validated";"27.4.2026";"FUR_25"
"Germany";"6101-0mvjy";"180970-tjdzl";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"29.11.2024";"Recurrence of an eradicated disease";"Validated";"27.4.2026";"FUR_12"
"Germany";"6264-99eiv";"181139-upm3s";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"4.2.2025";"Recurrence of an eradicated disease";"Validated";"27.4.2026";"FUR_3"
"Germany";"6104-afkbl";"180983-wcewf";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"9.12.2024";"Recurrence of an eradicated disease";"Validated";"27.4.2026";"FUR_8"
"Germany";"6166-e4qjo";"181086-2ftxf";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"20.12.2024";"Recurrence of an eradicated disease";"Validated";"27.4.2026";"FUR_9"
"Germany";"6066-r0af4";"181235-k2g9x";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"4.11.2024";"Recurrence of an eradicated disease";"Validated";"27.4.2026";"FUR_10"
"Germany";"6084-b5kr6";"181706-xnn8l";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"21.11.2024";"Recurrence of an eradicated disease";"Validated";"27.4.2026";"FUR_23"
"Germany";"6194-hybkg";"181730-ri61b";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"10.1.2025";"Recurrence of an eradicated disease";"Validated";"27.4.2026";"FUR_15"
"Ukraine";"6435-10hkf";"182648-sdpo5";"African swine fever virus (Inf. with)";NaN;"2.4.2025";"Recurrence of an eradicated disease";"Validated";"24.4.2026";"FUR_9"
"Slovenia";"6964-gfyzb";"182628-3urxe";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"27.10.2025";"Recurrence of an eradicated disease";"Validated";"24.4.2026";"FUR_21"
"Germany";"6019-dapqm";"181231-5kezl";"African swine fever virus (Inf. with)";NaN;"4.11.2024";"First occurrence in a zone or a compartment";"Validated";"24.4.2026";"FUR_33"
"Germany";"6257-zqj7b";"182524-7q3di";"African swine fever virus (Inf. with)";NaN;"31.1.2025";"First occurrence in a zone or a compartment";"Validated";"24.4.2026";"FUR_5"
"Greece";"7503-uc6bs";"182604-ydb6f";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"3.4.2026";"Recurrence of an eradicated disease";"Validated";"24.4.2026";"IN"
"Germany";"6760-nvyor";"182585-i5126";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"1.9.2025";"Recurrence of an eradicated disease";"Validated";"23.4.2026";"FUR_12"
"Ukraine";"7495-umm6q";"182584-i0v50";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"21.4.2026";"Recurrence of an eradicated disease";"Validated";"23.4.2026";"IN"
"Germany";"6315-ht1o1";"182538-qocjx";"African swine fever virus (Inf. with)";NaN;"5.3.2025";"Recurrence of an eradicated disease";"Validated";"23.4.2026";"FUR_7"
"France";"6707-r7alt";"181316-e0zd6";"West Nile Fever";NaN;"23.7.2025";"Recurrence of an eradicated disease";"Validated";"22.4.2026";"FUR_15"
"Germany";"6844-h5i08";"181870-larim";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"30.9.2025";"Recurrence of an eradicated disease";"Validated";"22.4.2026";"FUR_7"
"Bulgaria";"7484-suuiv";"182539-oymvp";"Anthrax";NaN;"15.4.2026";"First occurrence in a zone or a compartment";"Validated";"22.4.2026";"IN"
"Lithuania";"6864-68wmm";"182521-d1tz9";"Bluetongue virus (Inf. with)";"3";"24.9.2025";"First occurrence in the country";"Validated";"21.4.2026";"FUR_7"
"Germany";"6879-qys8m";"182485-jvkbm";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"9.10.2025";"Recurrence of an eradicated disease";"Validated";"20.4.2026";"FUR_6"
"Hungary";"6660-a1257";"182466-5lrsp";"African swine fever virus (Inf. with)";NaN;"8.7.2025";"First occurrence in a zone or a compartment";"Validated";"20.4.2026";"FUR_9"
"France";"7466-b1f8r";"182436-4ge13";"West Nile Fever";NaN;"30.3.2026";"Recurrence of an eradicated disease";"Validated";"20.4.2026";"IN"
"France";"6875-ghna8";"182187-k5qzm";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"6.10.2025";"Recurrence of an eradicated disease";"Validated";"17.4.2026";"FUR_37"
"Bulgaria";"6664-uva5v";"182437-tl8sa";"Sheep pox and goat pox";NaN;"20.7.2025";"Recurrence of an eradicated disease";"Validated";"17.4.2026";"FUR_52"
"Bulgaria";"6661-rp0uo";"179636-rktkz";"Sheep pox and goat pox";NaN;"17.7.2025";"Recurrence of an eradicated disease";"Validated";"17.4.2026";"FUR_1"
"Italy";"6826-vi2ek";"182435-nuvgy";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"29.9.2025";"Recurrence of an eradicated strain";"Validated";"17.4.2026";"FUR_29"
"Belgium";"6403-7552n";"182177-wdvd9";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5 (N untyped)";"26.3.2025";"Recurrence of an eradicated disease";"Validated";"17.4.2026";"FUR_19"
"Russia";"7426-642ua";"182179-z69ub";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"1.3.2026";"Recurrence of an eradicated disease";"Validated";"17.4.2026";"IN"
"Romania";"7461-aip79";"182399-6rbf8";"Paratuberculosis";NaN;"13.3.2026";"Recurrence of an eradicated disease";"Validated";"17.4.2026";"IN"
"Czech Republic";"7004-qgk1a";"182400-cgqbi";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"10.11.2025";"Recurrence of an eradicated disease";"Validated";"17.4.2026";"FUR_24"
"Sweden";"7180-j59ui";"182378-b3uwg";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"19.11.2025";"Recurrence of an eradicated disease";"Validated";"16.4.2026";"FUR_12"
"Lithuania";"7166-jro32";"181819-vkku0";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"31.12.2025";"Recurrence of an eradicated strain";"Validated";"16.4.2026";"FUR_6"
"Liechtenstein";"7447-p09w2";"182364-5tab4";"Echinococcus multilocularis (Inf. with) (2014-)";NaN;"10.3.2026";"Recurrence of an eradicated disease";"Validated";"15.4.2026";"IN"
"Sweden";"7191-aquqc";"182360-l28jq";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N2";"16.12.2025";"New strain in the country";"Validated";"15.4.2026";"FUR_7"
"Hungary";"6687-rljy4";"181841-1469q";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"19.7.2025";"Recurrence of an eradicated disease";"Validated";"15.4.2026";"FUR_29"
"Romania";"7218-7n3wf";"182343-6rl4a";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"16.1.2026";"Recurrence of an eradicated disease";"Validated";"15.4.2026";"FUR_8"
"United Kingdom";"7337-82fy6";"182257-q88om";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"26.2.2026";"Recurrence of an eradicated disease";"Validated";"13.4.2026";"FUR_7"
"Sweden";"7313-0pmf1";"182308-o68iw";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"25.2.2026";"Recurrence of an eradicated disease";"Validated";"13.4.2026";"FUR_3"
"Germany";"6832-926mg";"181530-liksr";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"28.9.2025";"Recurrence of an eradicated disease";"Validated";"13.4.2026";"FUR_17"
"United Kingdom";"7368-3rijo";"182258-3w06c";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"28.2.2026";"Recurrence of an eradicated disease";"Validated";"10.4.2026";"FUR_6"
"Germany";"7278-fdm8o";"182012-n7s1r";"Newcastle disease virus (Inf. with)";NaN;"19.2.2026";"Recurrence of an eradicated disease";"Validated";"10.4.2026";"FUR_5"
"Ukraine";"6405-lk0z6";"182233-cx67e";"African swine fever virus (Inf. with)";NaN;"26.2.2025";"Recurrence of an eradicated disease";"Validated";"10.4.2026";"FUR_8"
"Germany";"7312-sj5pe";"182232-jvk1o";"Newcastle disease virus (Inf. with)";NaN;"24.2.2026";"Recurrence of an eradicated disease";"Validated";"10.4.2026";"FUR_4"
"Albania";"5575-zlvwf";"166161-rib6b";"African swine fever virus (Inf. with)";NaN;"9.2.2024";"First occurrence in the country";"Validated";"6.3.2024";"FUR_1"
"Ukraine";"5437-l04a4";"166280-xvrkn";"African swine fever virus (Inf. with)";NaN;"21.12.2023";"Recurrence of an eradicated disease";"Validated";"5.3.2024";"FUR_3"
"Hungary";"5337-72yr6";"166277-8wu8c";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"13.11.2023";"Recurrence of an eradicated disease";"Validated";"5.3.2024";"FUR_21"
"Hungary";"5416-ejtqc";"166276-udp9b";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"18.12.2023";"Recurrence of an eradicated disease";"Validated";"5.3.2024";"FUR_12"
"Hungary";"5325-flvxf";"166275-lfbin";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"4.11.2023";"Recurrence of an eradicated disease";"Validated";"5.3.2024";"FUR_16"
"Hungary";"5503-8hp89";"166274-22ssg";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"12.1.2024";"Recurrence of an eradicated disease";"Validated";"5.3.2024";"FUR_7"
"Hungary";"5400-nechy";"166273-m1qkl";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"8.12.2023";"Recurrence of an eradicated disease";"Validated";"5.3.2024";"FUR_11"
"Hungary";"5336-owuyw";"166272-us6y7";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"11.11.2023";"First occurrence in a zone or a compartment";"Validated";"5.3.2024";"FUR_14"
"Hungary";"5349-tv7a3";"166271-n4qgd";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"16.11.2023";"Recurrence of an eradicated disease";"Validated";"5.3.2024";"FUR_15"
"Hungary";"5335-l18av";"166270-entdn";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"10.11.2023";"Recurrence of an eradicated disease";"Validated";"5.3.2024";"FUR_14"
"Hungary";"5342-07ozm";"166269-bkfc7";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"13.11.2023";"Recurrence of an eradicated disease";"Validated";"5.3.2024";"FUR_18"
"Hungary";"5328-oa3m3";"166268-g5g7h";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"6.11.2023";"Recurrence of an eradicated disease";"Validated";"5.3.2024";"FUR_18"
"France";"4941-ewpzv";"159922-x5fxa";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"10.2.2023";"Unusual host species";"Validated";"4.3.2024";"FUR_1"
"Russia";"5386-woq4x";"166046-2u35v";"African swine fever virus (Inf. with)";NaN;"1.12.2023";"Recurrence of an eradicated disease";"Validated";"26.2.2024";"FUR_1"
"Russia";"5080-tvzgd";"166045-b2wb8";"African swine fever virus (Inf. with)";NaN;"29.5.2023";"Recurrence of an eradicated disease";"Validated";"26.2.2024";"FUR_12"
"Russia";"5316-7dgso";"166044-rd2lj";"African swine fever virus (Inf. with)";NaN;"30.10.2023";"Recurrence of an eradicated disease";"Validated";"26.2.2024";"FUR_3"
"Ukraine";"5508-f5xfe";"165991-xi1uc";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"17.1.2024";"First occurrence in a zone or a compartment";"Validated";"22.2.2024";"FUR_1"
"Ukraine";"5458-1wi7x";"165990-kq55r";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"1.1.2024";"First occurrence in a zone or a compartment";"Validated";"22.2.2024";"FUR_1"
"Ukraine";"5441-rwuew";"165978-3awca";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"29.12.2023";"Recurrence of an eradicated disease";"Validated";"22.2.2024";"FUR_3"
"Sweden";"5476-zngrp";"165980-zt57s";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"5.1.2024";"Recurrence of an eradicated disease";"Validated";"21.2.2024";"FUR_7"
"Belgium";"5375-33d3p";"165960-04duq";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"30.11.2023";"Recurrence of an eradicated disease";"Validated";"21.2.2024";"FUR_4"
"France";"5361-o87sc";"165912-b2o26";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5 (N untyped)";"26.11.2023";"Recurrence of an eradicated disease";"Validated";"20.2.2024";"FUR_4"
"Cyprus";"5559-7lmw6";"165859-4t39h";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"2.2.2024";"Recurrence of an eradicated strain";"Validated";"19.2.2024";"IN"
"Italy";"4731-8bimx";"165773-tetxr";"Epizootic hemorrhagic disease virus (Inf. with)";"8";"25.10.2022";"First occurrence in a zone or a compartment";"Validated";"14.2.2024";"FUR_61"
"Italy";"5338-vkrw5";"165769-2yrvj";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"13.11.2023";"Recurrence of an eradicated disease";"Validated";"14.2.2024";"FUR_12"
"Spain";"4928-3k9rt";"165236-qcve1";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"5.1.2023";"Recurrence of an eradicated disease";"Validated";"13.2.2024";"FUR_20"
"Slovenia";"5060-g8xgu";"165699-ccm6j";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N1";"9.5.2023";"Recurrence of an eradicated disease";"Validated";"12.2.2024";"FUR_6"
"Iceland";"5254-nhy6i";"165687-6y8my";"Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)";"H5N5";"8.7.2023";"New strain in the country";"Validated";"12.2.2024";"FUR_4"
"Russia";"5387-cr3hb";"165632-kxg6m";"African swine fever virus (Inf. with)";NaN;"30.11.2023";"Recurrence of an eradicated disease";"Validated";"9.2.2024";"FUR_1"
"Ukraine";"5366-751uj";"165599-85ywh";"African swine fever virus (Inf. with)";NaN;"28.11.2023";"Recurrence of an eradicated disease";"Validated";"7.2.2024";"FUR_3"
"Bulgaria";"3217-fpdgn";"159414-0tdew";"Coxiella burnetii (Inf. with) (Q fever)";NaN;"15.4.2020";"Recurrence of an eradicated disease";"Validated";"7.2.2024";"FUR_3"
"Bulgaria";"5131-3ar0p";"165585-ekv8m";"African swine fever virus (Inf. with)";NaN;"19.7.2023";"First occurrence in a zone or a compartment";"Validated";"7.2.2024";"FUR_2"
"Bulgaria";"5307-2vnrf";"165581-6tyjq";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5 (N untyped)";"24.10.2023";"Recurrence of an eradicated disease";"Validated";"7.2.2024";"FUR_4"
"Netherlands";"5331-1732h";"165494-zjmrg";"High pathogenicity avian influenza viruses (Inf. with) (poultry)";"H5N1";"11.11.2023";"Recurrence of an eradicated disease";"Validated";"2.2.2024";"FUR_4"
"Italy";"5288-4g7um";"165492-ixcjd";"Anthrax";NaN;"12.10.2023";"Recurrence of an eradicated disease";"Validated";"2.2.2024";"FUR_16"
"Germany";"5302-d8xao";"165485-yoawt";"West Nile Fever";NaN;"22.9.2023";"Recurrence of an eradicated disease";"Validated";"2.2.2024";"FUR_1"
"Germany";"5260-zyu01";"165484-dlldq";"West Nile Fever";NaN;"23.9.2023";"First occurrence in a zone or a compartment";"Validated";"2.2.2024";"FUR_1"
